id,nome,pais_original,pais_corrigido,nearest_cc,nearest_city,latitude,longitude,dist_km,hotel_count,status,nota
16917,Switzerland,CH,US,US,Big Bear City,34.240845,-116.8652,2.9,1,OK,
16952,Syrian Coast and Mountains,TR,US,US,Belfast,44.486412,-69.02453,6.9,6,OK,
16970,Taba Heights,EG,SA,SA,Ḩaql,29.386496,34.799706,18.1,18,Revisar (distância alta),
17040,Takengon,ID,ES,ES,Arona,28.05203,-16.71774,6.4,2,OK,
17073,Tamchy,RU,KG,KG,Cholpon-Ata,42.564697,76.6606,35.8,2,Revisar (distância alta),
17088,Tanegashima,PT,JP,JP,Nōkan,30.591848,130.9959,4.3,15,OK,
17180,Târgoviște,GB,RO,RO,Lugoj,45.815544,21.825483,15.3,4,Revisar (distância alta),
17211,Tel Aviv/South and East,CN,JM,JM,Bull Savannah,17.901588,-77.74622,16.6,31,Revisar (distância alta),
17257,Alandroal,PT,ES,ES,Valencia de Alcántara,39.58429,-7.335982,20.8,5,Revisar (distância alta),
17266,Terra Nova National Park,PT,CA,CA,Clarenville,48.53323,-53.89194,41.1,24,Revisar (distância alta),
17443,Tobago,ES,TT,TT,Scarborough,11.240461,-60.672005,9.5,4,OK,
17456,Toila,RU,EE,EE,Jõhvi,59.420876,27.511683,8.6,8,OK,
17525,Top End,AU,IE,IE,Portlaoise,52.89117,-7.480308,20.0,8,Revisar (distância alta),
17562,Torres Strait Islands,AU,AU,PG,Daru,-10.285107,142.2409,171.1,8,Revisar (distância alta),Austrália
17619,Transylvania,RO,US,US,Brevard,35.198223,-82.77249,5.2,9,OK,
17652,Triglav National Park,IT,SI,SI,Bohinjska Bistrica,46.336044,13.813872,12.9,50,OK,
17663,Trinidad and Tobago,PT,TT,TT,Sangre Grande,10.746691,-61.084007,18.5,1,Revisar (distância alta),
17743,Tully,AU,FR,FR,Eu,50.085747,1.516022,8.1,11,OK,
17765,Turkey (Texas),TR,US,US,Childress,34.393917,-100.89408,63.4,7,Revisar (distância alta),
17766,Turkey Run State Park,CA,US,US,Crawfordsville,39.89424,-87.20396,32.5,9,Revisar (distância alta),
17767,Turkmenbashi,RU,TM,TM,Türkmenbaşy,40.00554,52.993282,3.7,11,OK,
17840,Ujung Kulon National Park,ID,ES,ES,Calp,38.6783,0.08935,5.4,2,OK,
17844,Ukraine,RU,UA,UA,Korsun-Shevchenkivskyi,49.487198,31.271832,7.8,28,OK,
17857,Uludağ,GR,ES,ES,Teulada,38.67878,0.09787,5.7,6,OK,
17868,Umphang,TH,MM,MM,Myawaddy,16.019138,98.8633,83.5,2,Revisar (distância alta),
17943,Uyuni,AR,BO,BO,Llallagua,-18.28925,-66.477264,18.4,14,Revisar (distância alta),
17965,Valdres,BE,NO,NO,Råholt,60.514748,11.174451,26.6,18,Revisar (distância alta),
18040,Vardø,NO,RU,RU,Zapolyarnyy,70.370186,31.10772,105.6,6,Corrigido,
18144,Vieng Xai,VN,LA,LA,Xam Nua,20.41094,104.227715,19.1,5,Revisar (distância alta),
18215,Visegrád,PL,HU,HU,Vác,47.78458,18.970337,12.4,49,OK,
18321,Wallace (Nebraska),RU,US,US,North Platte,40.838337,-101.164955,46.2,9,Revisar (distância alta),
18326,Wallis and Futuna,FR,WF,WF,Mata-Utu,-13.289402,-176.20422,3.3,5,OK,
18343,Wamego,NL,US,US,Manhattan,39.201942,-96.305,23.1,4,Revisar (distância alta),
18352,Ward,NZ,US,US,Monahans,31.50076,-103.07812,20.4,9,Revisar (distância alta),
18372,Warroad,BR,US,US,Thief River Falls,48.905266,-95.31441,108.2,15,Corrigido,"Minnesota, EUA"
18408,Washington Crossing Historical Park,BR,CA,CA,Strathmore,50.78305,-112.8459,48.1,3,Revisar (distância alta),
18415,Waterfalls,BR,BF,BF,Mangodara,10.307181,-4.435189,45.8,18,Revisar (distância alta),
18418,Waterfront City,ID,ID,LK,Devinuwara,4.4458,81.04486,172.4,9,Revisar (distância alta),Indonésia
18448,Wayne National Forest,TR,US,US,Nelsonville,39.56257,-82.18737,12.2,15,OK,
18470,Weimar (Texas),CZ,US,US,Giddings,29.70301,-96.78054,55.4,5,Revisar (distância alta),
18480,Wellfleet,BR,US,US,Eastham,41.937607,-70.0328,12.9,41,OK,
18482,Wellingborough,FR,DE,DE,Tönning,54.33045,8.7737,10.9,7,OK,
18484,Wellington (Ohio),CA,US,US,Oberlin,41.168587,-82.21757,13.9,16,OK,
18497,Wenchang,TH,CN,CN,Jiangyou,31.634853,105.16022,44.4,21,Revisar (distância alta),
18539,Westfjords,IS,GR,GR,Orchomenós,38.80404,23.23432,41.1,3,Revisar (distância alta),
18543,West Frisian Islands,DE,NL,NL,Stiens,53.448326,5.739961,20.7,4,Revisar (distância alta),
18581,Westport (New York),US,NZ,NZ,Greymouth,-41.75777,171.57617,84.7,19,Revisar (distância alta),
18592,West Valley City,MX,US,US,Boston,42.408127,-78.61074,26.7,27,Revisar (distância alta),
18720,Winkler,RU,US,US,Kermit,31.80059,-103.07623,6.5,17,OK,
18795,Woodstown,IT,US,US,Carneys Point,39.651505,-75.32825,13.8,6,OK,
18806,Working abroad,SG,EG,EG,Al-'Ubūr,30.267574,31.485502,4.3,6,OK,
18842,Xcalak,MX,BZ,BZ,San Pedro,18.270376,-87.83596,41.7,11,Revisar (distância alta),
18861,Xora,ZA,BT,BT,Lhuentse,28.447882,91.37802,88.8,15,Revisar (distância alta),
18973,Yonghe,PH,CN,CN,Wayaobu,36.759502,110.62649,95.6,50,Revisar (distância alta),
18981,Yorke Peninsula and Clare Valley,AU,VC,VC,Kingstown,13.16667,-61.25,2.8,5,OK,
19003,Yucatán and the South,MX,GB,GB,Hungerford,51.33333,-1.5,9.2,5,OK,
19068,Zealand,SE,DK,DK,Ringsted,55.545597,11.697374,12.9,3,OK,
19155,Ascona,CH,IT,IT,Domodossola,46.340363,8.384806,25.9,10,Revisar (distância alta),
19211,Morrisburg,CA,US,US,Massena,44.897705,-75.18295,23.2,16,Revisar (distância alta),
19224,Prescott (Ontario),CA,US,US,Ogdensburg,44.71042,-75.5129,2.8,29,OK,
19249,Christianity,PH,US,US,Sedona,34.82919,-111.75673,4.5,40,OK,
19251,Archaeological sites,CN,US,US,Murrells Inlet,33.521786,-79.09165,5.7,1,OK,
19253,Norrbotten County,PT,SE,SE,Gällivare,66.98121,19.999165,33.0,2,Revisar (distância alta),
19283,Chiltern Hills,GB,ZA,ZA,Pinetown,-29.814722,30.9275,4.0,4,OK,
19287,Goliad,BR,US,US,Victoria,28.66891,-97.39111,40.7,4,Revisar (distância alta),
19338,Cushendall,IE,GB,GB,Ballycastle,55.08082,-6.064064,17.8,6,Revisar (distância alta),
19472,Prehistoric Wessex Trail,GB,US,US,Eagle Point,42.64846,-122.8106,19.6,11,Revisar (distância alta),
19496,Putre,CL,PE,PE,Tacna,-18.196383,-69.55923,76.1,9,Revisar (distância alta),
