hotel_id,nome,old_destino_id,pais_code,razao
279359,Vazgen and Dzovinar Baghdasarian,21218,,
279360,Ara and Inga Adamian,21218,,
279361,Elmard and Hranush (Sonia) Sarafian,21218,,
279362,Vova and Alina Begnazarian,21218,,
279363,Gegham Badalyan,21218,,
279364,Hayk and Mrs. Alvart Danielian,21218,,
279365,Lova and Mrs. Maret,21218,,
282532,[[Qingdao]],21496,CN,bracket
282533,[[Brest (Belarus),21496,,
282534,[[Ypres]],21496,BE,bracket
282535,[[Sarajevo]],21496,BA,bracket
282536,[[Verdun]],21496,FR,bracket
282537,Vimy Ridge,21496,,
282538,Forest of [[Compiègne]],21496,US,cidade
282539,Lochnagar mine,21496,,
282540,[[Kiel]],21496,DE,bracket
282541,Manfred von Richthofen's grave,21496,,
282542,Battle of Tannenberg,21496,GB,cidade
282543,[[Gallipoli]],21496,,
282544,Historial of the Great War Péronne,21496,,
282545,Historial of the Great War Thiepval,21496,,
282546,Somme Trench Museum,21496,,
282547,Museum of the Great War Pays de Meaux,21496,,
282548,U.S. National WWI Museum and Memorial,21496,,
282549,Fort Wohlgemuth & World War I Museum,21496,,
282550,First World War Chinese Laborers Memorial,21496,,
284661,"Great Salt Lake, [[Utah]]",21626,,
284662,[[La Macarena]],21626,CO,bracket
284663,Western Lake Erie,21626,,
287739,Abdeen Palace,21867,,
287740,Ras el Tin Palace,21867,,
287741,Menelik Palace,21867,,
287742,Fasil Ghebbi,21867,,
287743,Forbidden City,21867,,
287744,Gyeongbokgung,21867,,
287745,Changdeokgung,21867,,
287746,Topkapı Palace,21867,,
287747,Dolmabahçe Palace,21867,,
287748,Narayanhiti Palace,21867,,
287749,Mysore Palace,21867,IN,cidade
287750,Red Fort,21867,,
287751,Royal Palace of Kandy,21867,,
287752,[[Isfahan#Palaces,21867,,
287753,[[Samarkand#Q1373583,21867,,
287754,"Royal Palace, Luang Prabang",21867,,
287755,Potala Palace,21867,,
287756,[[Babylon]],21867,PL,bracket
287757,Schloss Neuschwanstein,21867,,
287758,Potsdam and Berlin,21867,DE,cidade
287759,Palace of Versailles,21867,,
287760,Palace of Fontainebleau,21867,,
287761,Moscow Kremlin,21867,RU,cidade
287762,Peterhof Palace,21867,DE,cidade
287763,State Hermitage Museum,21867,,
287764,Catherine Palace,21867,,
287765,Royal Castle of Warsaw,21867,,
287766,[[Kraków/Old Town,21867,,
