destino_id,destino_nome,pais,pais_code,hotel_count
18536,West Fargo,XX,XX,10
16440,Southern Tasmania,AU,AU,10
25299,Natural harbours,XX,XX,10
20850,Roanoke Rapids,XX,XX,10
27798,El Pont de Suert,XX,XX,9
26092,Overland Track,XX,XX,9
15574,San Simeon,XX,XX,9
25877,Ipetumodu,XX,XX,9
10200,Kota Bharu,XX,XX,9
22532,Cannabis,XX,XX,9
23686,Polillo Island,XX,XX,9
14793,Río Plátano Biosphere Reserve,XX,XX,9
27599,Gapado,XX,XX,9
27572,Berthierville,XX,XX,9
23088,Canso,XX,XX,9
28392,Pujon,XX,XX,9
22561,Annapolis Royal,XX,XX,9
24550,Brookmans Park,XX,XX,9
24471,Wells Gray Provincial Park,XX,XX,9
24206,Martonvásár,XX,XX,9
17417,Tirta Gangga,XX,XX,9
16095,Shizuishan,XX,XX,9
22608,Breweries in Franconia,XX,XX,9
18583,West Rand,ZA,ZA,9
26903,Sund,XX,XX,9
27194,Žiar nad Hronom,XX,XX,9
24736,Cedartown,XX,XX,9
28209,Canaries,XX,XX,9
28358,Polangui,XX,XX,9
21229,Beinan,XX,XX,9
26284,Manicouagan,XX,XX,9
26319,Mojácar,XX,XX,9
22198,T. Narsipur,IN,IN,9
26125,Kwekwe,XX,XX,9
16569,Olympic Valley,XX,XX,9
19395,Spiritwood,CA,CA,9
27328,Bell and Mount Wilson,XX,XX,9
26344,Tasman and South East,XX,XX,9
15049,Rocky Mountain National Park,XX,XX,9
27629,Jere,XX,XX,9
19439,Mardan,XX,XX,9
16382,Songpan,XX,XX,9
26054,Long Melford,XX,XX,9
27971,Cimarron,MX,MX,9
27781,Snoqualmie Valley,XX,XX,9
26395,Pasuruan,XX,XX,9
21226,Changbin,XX,XX,9
12341,Santa Catalina Mountains,XX,XX,9
25669,Ikire,XX,XX,9
25242,Marksville,XX,XX,9
21236,Andasibe-Mantadia National Park,XX,XX,9
27992,Larrau,XX,XX,9
19260,St. Martinville,XX,XX,9
24802,Central Wirral,XX,XX,9
25410,Lares,XX,XX,9
25420,Sainte-Anne-de-la-Pérade,XX,XX,9
16154,Sihanoukville,XX,XX,9
26596,Nok,XX,XX,9
25421,Moapa Valley,XX,XX,9
23174,Oughterard,XX,XX,9
21163,Indus Valley Civilisation,IN,IN,9
19912,Ebey's Landing National Historical Reserve,XX,XX,9
16604,Staples,XX,XX,9
24787,Llangynwyd,XX,XX,9
15259,Sainte-Anne,XX,XX,9
18027,Vanderkloof,ZA,ZA,9
14654,Quetzaltenango,XX,XX,9
25226,Central Union County,XX,XX,9
15922,Seremban,XX,XX,9
26913,Kota Agung,XX,XX,9
18073,Velez Blanco,XX,XX,9
27584,Fufore,XX,XX,9
24537,Boca Grande,XX,XX,9
16376,Sonargaon,XX,XX,9
28204,Gombi,XX,XX,9
