"destino_id","destino_nome","pais_encontrado","hotel_count","classificacao","acao","prioridade_acao","latitude","longitude","motivo"
"17974","Valga","Estonia","39","real","manter","","57.777034","26.0315628","lugar (/administrative, imp=0.52)"
"27526","Longquanyi","China","39","real","manter","","30.5937038","104.3084901","lugar (/administrative, imp=0.47)"
"28302","Taichung/Central Taichung","Taiwan","39","real","manter","","24.1370662","120.6868667","lugar (/station, imp=0.43)"
"20582","Lac-Saint-Jean","Canada","39","real","manter","","48.583336","-72.0048797","lugar (/lake, imp=0.47)"
"27877","Bulqiza","Kosovo","39","real","manter","","42.4945225","20.7092966","lugar pequeno (/residential, imp=0.05)"
"23309","Taal","Philippines","37","real","manter","","13.8800681","120.923877","lugar (/administrative, imp=0.43)"
"26320","Carmel Point","United States","37","real","manter","","36.5422362","-121.9302433","lugar (/village, imp=0.15)"
"20482","Diani Beach","Kenya","37","real","manter","","-4.3124919","39.5793598","lugar (/beach, imp=0.30)"
"16907","Swartz Creek","United States","37","real","manter","","42.9572508","-83.8305144","lugar (/administrative, imp=0.41)"
"28120","Zona Volcànica de la Garrotxa Natural Park","Spain","37","real","manter","","42.2091786","2.567809","lugar pequeno (/nature_reserve, imp=0.08) (nome limpo)"
"25868","Uselu","Nigeria","37","real","manter","","6.3833901","5.6107214","lugar (/town, imp=0.16)"
"27832","Gemert","Netherlands","37","real","manter","","51.5589833","5.6864592","lugar (/administrative, imp=0.37)"
"28454","Ukpor","Nigeria","37","real","manter","","5.9427439","6.9289177","lugar (/town, imp=0.16)"
"27840","Cuijk","Netherlands","37","real","manter","","51.729939","5.8800458","lugar (/administrative, imp=0.45)"
"25723","Ajegunle","Nigeria","36","real","manter","","6.4481563","3.3335102","lugar (/suburb, imp=0.15)"
"19081","Zhangye","China","36","real","manter","","39.121833","99.924947","lugar (/administrative, imp=0.53)"
"21290","Mtwapa","Kenya","36","real","manter","","-3.947402","39.742359","lugar (/village, imp=0.15)"
"24035","Gjilani","Kosova / Kosovo","36","real","manter","","42.619586","21.1684497","estrada/percurso (photon: highway/primary)"
"18009","Vanadzor","Armenia","36","real","manter","","40.8112384","44.4851821","lugar (/city, imp=0.52)"
"25348","Grandes-Piles","Canada","35","real","manter","","46.6873452","-72.7263887","lugar (/administrative, imp=0.33)"
"25083","Sango Ota","Nigeria","35","real","manter","","6.81537","3.89754","POI real (photon: amenity/school)"
"25662","Ifo","Ukraine","35","real","manter","","48.8888036","24.6881212","lugar (/aerodrome, imp=0.41)"
"25840","Bwari","Nigeria","35","real","manter","","9.2357478","7.4718746","lugar (/administrative, imp=0.26)"
"26127","Livingston Island","XX","35","real","manter","","-62.6079191","-60.65962","lugar (/island, imp=0.55)"
"27521","Suqian","China","34","real","manter","","33.9644701","118.2696994","lugar (/administrative, imp=0.54)"
"27845","Laarbeek","Netherlands","34","real","manter","","51.5322927","5.6126426","lugar (/administrative, imp=0.48)"
"27007","Pengzhou","China","34","real","manter","","31.11408","103.921893","lugar (/administrative, imp=0.51)"
"25802","Efon","Nigeria","33","real","manter","","7.6836482","4.9348868","lugar (/administrative, imp=0.27)"
"18907","Yaremche","Ukraine","33","real","manter","","48.4504129","24.550955","lugar (/administrative, imp=0.46)"
"16635","Stepanavan","Armenia","33","real","manter","","41.0112004","44.3845119","lugar (/administrative, imp=0.48)"
"25813","Kosofe","Nigeria","33","real","manter","","6.581974","3.4148359","lugar (/administrative, imp=0.37)"
"26661","Targovishte","Bulgaria","33","real","manter","","43.2530111","26.4141884","lugar (/administrative, imp=0.59)"
"25818","Kuje","Nigeria","32","real","manter","","8.6984415","7.3004993","lugar (/administrative, imp=0.23)"
"21149","Clusane","Italy","32","real","manter","","45.6621863","10.0022105","lugar (/village, imp=0.45)"
"21656","Parksville","Canada","32","real","manter","","49.3179514","-124.311739","lugar (/administrative, imp=0.48)"
"25879","Oye","Nigeria","32","real","manter","","7.8805359","5.3375344","lugar (/administrative, imp=0.27)"
"25789","Ojota","Uganda","31","real","manter","","2.6426429","33.093007","lugar (/village, imp=0.15)"
"19222","Ellenville","United States","31","real","manter","","41.7170379","-74.39571","lugar (/administrative, imp=0.46)"
"25860","Otukpo","Nigeria","31","real","manter","","7.1912599","8.1328576","lugar (/administrative, imp=0.32)"
"15473","Sandy Springs","United States","31","real","manter","","33.9242688","-84.3785379","lugar (/administrative, imp=0.52)"
"28263","Montgrí, Medes Islands and Baix Ter Natural Park","Spain","31","real","manter","","42.040982","3.1262041","lugar (/administrative, imp=0.53) (nome limpo)"
"27876","Peshkopi","Albania","31","real","manter","","41.6848768","20.4287139","lugar (/administrative, imp=0.48)"
"10174","Koraput","India","31","real","manter","","18.7232023","82.6100596","lugar (/administrative, imp=0.49)"
"25527","Boucherville","Canada","31","real","manter","","45.6050197","-73.4526144","lugar (/administrative, imp=0.45)"
"28156","Zhongmu County","China","31","real","manter","","34.7207718","113.9818305","lugar (/administrative, imp=0.47)"
