id,nome,pais_code,pais,hotelCount
20356,"Angangueo",MX,MX,2
10257,"Krutyń",PL,PL,2
25487,"Szada",HU,HU,2
17532,"Topslip",IN,IN,2
21374,"Hampyeong",KR,KR,2
26027,"Vännäs",SE,SE,2
682,"Gadamés",LY,LY,2
7131,"El Morro",MX,MX,2
20913,"Travels of Hans Christian Andersen",DK,DK,2
20153,"Varvara",TR,TR,2
2834,"Rfnmgf",PT,PT,2
22780,"Tåsinge",DK,DK,2
22897,"Maamigili",MV,MV,2
27206,"Kabah",MX,MX,2
17146,"Tasiilaq",IS,IS,2
27243,"Skiing on Mt Ruapehu",AU,AU,2
28193,"Ichkabal",MX,MX,2
22528,"Steam power",GB,GB,2
11508,"Maramureș",RO,RO,2
17957,"Valaam",RU,RU,2
1831,"St. Clair",AU,AU,2
4777,"Bristol-Norfolk",GB,GB,2
26564,"Damphu",IN,IN,2
13619,"Palau",MX,MX,2
2455,"Baucau",TL,TL,2
3318,"Antioquia",CO,CO,2
13063,"Northern Quebec",TR,TR,2
8158,"Gröbming",AT,AT,2
13051,"Northern Isaan",TH,TH,2
7151,"Elsthorpe",NZ,NZ,2
4190,"Bendery",MD,MD,2
24150,"Montalto delle Marche",IT,IT,2
20729,"Nampho",KR,KR,2
20519,"Val Camonica",IT,IT,2
15210,"Sabha",JO,JO,2
10863,"Linden (New Jersey)",PL,PL,2
26677,"Glenridding",GB,GB,2
1335,"Parque Nacional de Salonga",PT,PT,2
172,"Auschwitz",PL,PL,2
26196,"Fossholl",IS,IS,2
26315,"Rangsang",ID,ID,2
4361,"Bigul",IN,IN,2
24340,"Boating in Finland",NL,NL,2
3300,"Annobón",PT,PT,2
25919,"Sprague",CA,CA,2
13032,"North-Eastern India",CN,CN,1
5807,"Chi Phat",TH,TH,1
21691,"Sunwal",CN,CN,1
16502,"Southwest Iceland",IS,IS,1
165,"Atar",MR,MR,1
1344,"Parque Nacional do Banco de Arguim",PT,PT,1
7296,"Evian",FR,FR,1
1328,"Parque Nacional de Mole",PT,PT,1
2817,"Parque Nacional Coiba",PT,PT,1
28006,"Hồ Tràm",VN,VN,1
2463,"Viana",AO,AO,1
1337,"Parque Nacional de Simien",PT,PT,1
22564,"Inlandsbanan",SE,SE,1
1353,"Parque Nacional W",PT,PT,1
6394,"Dachstein",AT,AT,1
2107,"Vila Real",PT,PT,1
23990,"Saho",SO,SO,1
1341,"Parque Nacional de Virunga",PT,PT,1
1331,"Parque Nacional de Niokolo-Koba",PT,PT,1
24127,"Top Gear Vietnam special",VN,VN,1
1334,"Parque Nacional de Rwenzori",PT,PT,1
8394,"Hagfors",SE,SE,1
3826,"Banat",IN,IN,1
19185,"Finland Proper",FI,FI,1
27152,"Nordfjord",NO,NO,1
1336,"Parque Nacional de Sete Cidades",PT,PT,1
25471,"Délegyháza",HU,HU,1
28169,"Yuseong-gu",KR,KR,1
1350,"Parque Nacional Impenetrável de Bwindi",PT,PT,1
1339,"Parque Nacional de Tassili n'Ajjer",PT,PT,1
1325,"Parque Nacional de Luangwa Sul",PT,PT,1
1349,"Parque Nacional do Vale de Kidepo",PT,PT,1
1324,"Parque Nacional de Kakum",PT,PT,1
1321,"Parque Nacional de Garamba",PT,PT,1
1351,"Parque Nacional Marinho de St. Anne",PT,PT,1
1338,"Parque Nacional de Taï",PT,PT,1
791,"Ilha do Maio",PT,PT,1
23453,"Bilwi",NI,NI,1
1347,"Parque Nacional do Lago Malawi",PT,PT,1
25927,"Western Tasmania",AU,AU,1
10619,"Lashio",MM,MM,1
1520,"Região Floral do Cabo",PT,PT,1
150,"Artigas",UY,UY,1
2262,"Lida",BY,BY,1
1323,"Parque Nacional de Kahuzi-Biega",PT,PT,1
3772,"Balboa",CO,CO,1
2234,"Serguiev Possad",PT,PT,0
457,"Chuy",BR,BR,0
